Titel;Indicatornaamtabel;Subtitel;kwantitatief / categoraal / multiline;Plottitel (enkel bij kwantitatief);Categorie;Tekst vraagteken;KEA;Link kaartverhaal;Bron;Kleur;Domein;Opmerking Arjen voor Daniël;klassenthresholds
Groen en grijs niet-openbaar;boom_perc_niet_openbaar,niet_openbaar_perc_groen,niet_openbaar_perc_nietgroen;Groen in niet-openbaar gebied;Multiline;;Gebiedskenmerken;Deze statistieken laten zien welk percentage van het niet-openbaar gebied bestaat uit bomen, laag groen en overige gebieden (grijs). Grijs bestaat uit stenen, verharding, kale grond en zandverstuiving. De resultaten zijn gebaseerd op de Basiskaart Groen en Grijs. Voor het onderscheid tussen laag groen, bomen en grijs zijn luchtfoto’s gebruikt. Agrarisch gebied is niet meegenomen in de analyse. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal. ;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#63995C,#9DC182,#CBCBCB;Boom,Laag Groen,Grijs;"Boom = boom_niet_openbaarLaag groen = niet_openbaar_m2_groenGrijs = niet_openbaar_m2_nietgroen";
Groen en grijs openbaar;boom_perc_openbaar,openbaar_perc_groen,openbaar_perc_nietgroen;Groen in openbaar gebied;Multiline;;Gebiedskenmerken;Deze statistieken laten zien welk percentage van het openbaar gebied bestaat uit bomen, laag groen en overige gebieden (grijs). Grijs bestaat uit stenen, verharding, kale grond en zandverstuiving. De resultaten zijn gebaseerd op de Basiskaart Groen en Grijs. Voor het onderscheid tussen laag groen, bomen en grijs zijn luchtfoto’s gebruikt. Agrarisch gebied is niet meegenomen in de analyse. Wil je meer weten over de achtergrond van deze statistieken? Ga dan naar het kaartverhaal. ;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#63995C,#9DC182,#CBCBCB;Boom,Laag Groen,Grijs;"Boom = boom_openbaarLaag groen = openbaar_m2_groenGrijs = openbaar_m2_nietgroen";
Groen per inwoner;m2GroenPI;Aantal m2 groen per inwoner;Kwantitatief;m2 groen per inwoner;Gebiedskenmerken;Deze statistieken laten de hoeveelheid vierkante meter groen per inwoner zien op basis van de Basiskaart Groen en Grijs en de Wijk- en Buurtkaart van het CBS. ;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#CBCBCB,#9DC182,#63995C;;;
Functionele gebieden;bebouwing_opp,openbaar_opp,overig_opp,nietopenbaar_opp,transitie_opp,water_opp,agrarisch_opp;Indeling in functionele gebieden uit Basiskaart Groen en Grijs;Multiline;;Gebiedskenmerken;Deze statistieken laten zien hoeveel procent van een gebied bestaat uit bebouwing, openbaar gebied, niet-openbaar gebied, gebied in transitie, water, agrarisch gebied en overige functies. Deze verdeling in functionele gebieden is een belangrijke factor voor adaptatiemogelijkheden. In buurten met veel openbaar gebied liggen bijvoorbeeld andere maatregelen voor de hand dan in gebieden met veel tuinen. De indeling in functionele gebieden komt uit de Basiskaart Groen en Grijs. Ga naar het kaartverhaal voor meer informatie over deze indeling. ;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#FF7F7E,#D2B87F,#E8BEFF,#B6FFF1,#FFD37F,#B4DAFF, #D0E5A4;Bebouwing,Openbaar,Overig,Niet-openbaar,In transitie,Water, Agrarisch;"Graag naast de vier oppervlaktes ook Agrarisch toevoegen en onzichtbaar tonen zoals bij waterdiepte. URL naar Extra Excel: https://casclimate-my.sharepoint.com/:x:/g/personal/info_casclimate_onmicrosoft_com/EaS7-G_Sy1hKutVUBapEV2oBPaU0YV6KRTb_RBBAFvOL4Q?e=FctFRSFunctioneel gebied = (openbaar_oppervlakte + boom_openbaar_oppervlakte)/buurt_opp_incl_agrarisch,(niet_openbaar_oppervlakte + boom_niet_openbaar_oppervlakte)/buurt_opp_incl_agrarisch,(bebouwing_oppervlakte + boom_bebouwing_oppervlakte)/buurt_opp_incl_agrarisch,(water_oppervlakte + boom_water_oppervlakte)/buurt_opp_incl_agrarisch,(agrarisch_oppervlakte + boom_agrarisch_oppervlakte)/buurt_opp_incl_agrarisch,(overig_oppervlakte + boom_overig_oppervlakte)/buurt_opp_incl_agrarisch,(transitie_oppervlakte + boom_transitie_oppervlakte/buurt_opp_incl_agrarisch";
Percentage water;percentage_water_excl_agrarisch;Percentage water per buurt;;;;;;;;;;;
Bevolkingsdichtheid;BEV_DICHTH;Aantal inwoners per km2;Kwantitatief;Aantal inwoners per km2;Gebiedskenmerken;Deze statistieken laten het aantal inwoners per km2 zien op basis van de CBS Wijk en Buurtkaart 2022. In buurten met een hoge bevolkingsdichtheid worden veel mensen blootgesteld aan klimaateffecten. Tegelijk is de druk op de buitenruimte daar vaak hoog waardoor er minder ruimte is voor adaptiemaatregelen.;nee;https://www.cbs.nl/nl-nl/dossier/nederland-regionaal/geografische-data/wijk-en-buurtkaart-2022;CBS (2023);#CBCBCB,#a0b7c7,steelblue;;;
Gemiddelde WOZ-waarde;G_WOZ;Gemiddelde WOZ-waarde (in euro’s);Kwantitatief;WOZ-waarde in €;Gebiedskenmerken;Deze statistieken laten de gemiddelde WOZ-waarde per buurt zien op basis van de Wijk- en Buurtkaart 2022 van het CBS. De WOZ-waarde geeft een indicatie van de sociaaleconomische status van een buurt. In buurten met een hoge WOZ-waarde kunnen inwoners meestal makkelijker zelf adaptatiemaatregelen nemen. ;nee;https://www.cbs.nl/nl-nl/dossier/nederland-regionaal/geografische-data/wijk-en-buurtkaart-2022;CBS (2023);#CBCBCB,#a0b7c7,steelblue;;;
Sociaal minimum huishoudens;P_H_SOCMIN;Percentage huishoudens op of rond het sociaal minimum, kwetsbaar voor hitte;Kwantitatief;% huishoudens;Kwetsbaarheid;Deze statistieken laten het percentage huishoudens zien dat leeft rond of onder het sociaal minimum. Deze groep is extra kwetsbaar voor hitte. Wil je meer weten over de relatie tussen sociale kwetsbaarheid en hitte? Ga dan naar het kaartverhaal.  ;ja;https://www.klimaateffectatlas.nl/nl/sociale-kwetsbaarheid-hitte;CBS (2020);#CBCBCB,#a0b7c7,steelblue;;;
Hitte en broze 65-plussers;BrozeGezon;Percentage broze 65-plussers;Kwantitatief;% broze 65+ers;Kwetsbaarheid;Deze statistieken laten het percentage 65-plussers zien met een broze gezondheid. Deze groep is extra kwetsbaar voor hitte. Het begrip broosheid omvat fysieke gezondheid, mentale gezondheid en sociale gezondheid. Wil je meer weten over de relatie tussen 65-plussers met een broze gezondheid en hitte? Ga dan naar het kaartverhaal.  ;ja;https://www.klimaateffectatlas.nl/nl/sociale-kwetsbaarheid-hitte;RIVM (2022);#CBCBCB,#a0b7c7,steelblue;;;
Ernstige eenzaamheid;F18ErnstigZ;Percentage inwoners dat ernstig eenzaam is;Kwantitatief;% ernstig eenzaam;Kwetsbaarheid;Deze statistieken tonen het percentage ernstig eenzame mensen boven de 18 jaar. Deze mensen zijn extra kwetsbaar voor hitte omdat ze weinig sociale contacten hebben. Dit vergroot het risico op uitdroging en oververhitting bij een hittegolf. Ga voor meer informatie over deze statistieken naar de Buurtatlas van het RIVM. ;nee;https://buurtatlas.vzinfo.nl/#ernstige_eenzaamheid;RIVM (2020);#CBCBCB,#a0b7c7,steelblue;;;
Moeite met rondkomen;F18MoeiteMe;Percentage inwoners dat moeite heeft met rondkomen;Kwantitatief;% moeite met rondkomen;Kwetsbaarheid;Deze statistieken tonen het percentage mensen boven de 18 jaar dat in 2020 moeite had met rondkomen. Deze groep heeft minder financiële ruimte om maatregelen te nemen tegen hitte. Ga voor meer informatie over deze statistieken naar de Buurtatlas van het RIVM.;nee;https://buurtatlas.vzinfo.nl/#moeite_met_rondkomen;RIVM (2020);#CBCBCB,#a0b7c7,steelblue;;;
Ernstig overgewicht;F1865ErnsOv;Percentage inwoners met ernstig overgewicht;Kwantitatief;% met ernstig overgewicht;Kwetsbaarheid;Deze statistieken tonen het percentage mensen boven de 18 jaar met ernstig overgewicht.  Deze mensen is extra kwetsbaar voor hitte. Dit vergroot het risico op uitdroging en oververhitting bij een hittegolf. Ga voor meer informatie over deze statistieken naar de Buurtatlas van het RIVM. ;nee;https://buurtatlas.vzinfo.nl/#ernstig_overgewicht;RIVM (2020);#CBCBCB,#a0b7c7,steelblue;;;
Percentage huurwoningen;HuurwTperc;Percentage huurwoningen ;Kwantitatief;% huurwoningen;Kwetsbaarheid;Deze statistieken tonen hoeveel procent van de woningen bestaat uit huurwoningen. Voor bewoners van huurwoningen is het lastiger om grote aanpassingen te doen aan hun woning. Ze kunnen bijvoorbeeld niet zomaar zonneschermen plaatsen. De statistieken komen van de CBS Wijk- en Buurtkaart 2022.;nee;https://www.cbs.nl/nl-nl/dossier/nederland-regionaal/geografische-data/wijk-en-buurtkaart-2022;CBS (2023);#CBCBCB,#a0b7c7,steelblue;;;
Geboortes;Geboorte;Aantal geboortes per 100 inwoners;Kwantitatief;Geboortes per 100 inwoners;;De statistieken tonen het aantal geboortes per 100 inwoners. Pasgeboren baby’s zijn extra kwetsbaar omdat ze weinig weerstand hebben tegen extreme temperaturen. Deze statistieken komen van de Wijk- en Buurtkaart van het CBS.;nee;externe data;CBS (2023);#CBCBCB,#a0b7c7,steelblue;;;
